Capacity,Optimization,Best Response,Replicator Dynamics,Fictitious Play,MCTS,Allocation Algorithm
1163,0.0,144090.36393019397,150231.9559036596,140645.5817321155,131650.87104111337,128860.54954344725
1171,0.0,110774.06956163699,127931.21429461654,13426.208074762624,107643.34226280749,130318.22979532035
1181,0.0,89761.29955356721,87849.66314140853,87139.6853403987,74936.0576928218,99560.5633942991
1187,0.0,127837.39925429874,102767.81133191026,118776.57748330384,94827.01710888708,123725.30763551474
1193,0.0,93320.96693295169,96604.77917911267,13177.036262853995,78053.93381323929,79260.40913689212
1201,0.0,106119.54558331551,105102.32322784055,118137.11600910319,110031.86943815672,100057.05910586147
1213,0.0,118292.74298512259,133572.30340535284,141414.1245944444,127606.6920986431,134692.79326408793
1217,0.0,95647.97639775345,103155.24033486133,101331.42383871147,97427.86448342158,105115.66514258868
1223,0.0,112918.8678515702,126069.09888325585,121815.15825047344,125933.71296885022,114234.19868731446
1229,0.0,98500.9685249156,91732.05003421479,82173.33465253667,91579.66659327534,98286.44437621206
1231,0.0,131124.4972141642,139744.02183719823,152783.2855380764,142617.24682615057,153694.63954730905
1237,0.0,90481.20898069104,103129.77879180513,93471.3677372208,94399.17611920684,93632.35399207723
1249,93103.68330572815,96211.62535737029,102237.83178302526,101972.98829863615,97894.94360693828,108525.26178796538
1259,0.0,101136.27226623283,104955.41837592423,94747.80382695471,100090.50260589732,87187.68911500141
1277,0.0,119642.65703156371,120118.13631780814,112003.73207563162,122794.71946096608,116093.30013393257
1279,0.0,89954.86534983088,108944.9638925129,111410.55044136554,89563.55792470134,114721.25212842514
1283,0.0,99290.36941026425,101495.79892543497,107401.48971491004,104965.95587377404,91778.52079097269
1289,0.0,72450.09962940993,90196.29127858381,89474.95704984493,99925.5540287596,93019.65511054927
1291,0.0,99571.69624620758,92684.4325716969,101231.84741606476,118477.01157772462,27953.391532505575
1297,0.0,141371.53636765637,144462.6700643246,138142.39135917625,124463.48823503933,120343.39492805376
1301,0.0,90241.63418762683,113534.96664326185,95535.31724512615,99563.94802602372,93915.6475427955
1303,0.0,96478.54439161792,82987.04746628964,94345.42592135265,92555.70642978034,91114.35992279138
1307,0.0,100021.84001659648,112878.95666545547,23110.361420871068,88803.88067457476,101900.09533124504
