Capacity,Optimization,Best Response,Replicator Dynamics,Fictitious Play,MCTS,Allocation Algorithm
2617,0.0,135312.20825790128,136403.03172941657,141539.25939937268,141090.1251481058,132604.34227807415
2621,0.0,139087.8578553075,149779.99595524106,147934.8542563373,140173.94343014245,150912.2248726965
2633,0.0,135950.1698264354,145175.37502445027,139669.0316853108,139822.57070834262,137324.27333479494
2647,0.0,114866.57435721715,110603.97776136208,104181.23347063457,109936.98825011353,104732.58488739037
2657,0.0,121510.64689446877,119069.8284788879,117984.30417037799,127001.00591973691,112459.38893847946
2659,0.0,154848.81132983413,176031.8445388256,145412.54436799465,162649.38976950417,161499.5190126762
2663,0.0,96492.14127260986,104205.14313565142,99935.5853527011,102281.32100610044,94985.64746456302
2671,0.0,154059.03320363283,164370.21840346884,146720.43293759873,158495.03549860875,156444.51137631485
2677,0.0,138148.15560655209,138252.53467050585,128210.36330722448,139649.7446268577,130080.24717693389
2683,0.0,141771.9896090146,130930.83367246304,151122.03454003806,147249.07026883902,137593.4214206693
2687,0.0,130956.94685342244,136136.62668837293,137514.7572387103,139056.24035768938,138767.65212436704
2689,0.0,109639.75827661714,106190.62900767,108376.56822108799,113982.1693862771,107565.99186337752
2693,0.0,147747.38022192958,139394.28932635213,139519.12441685516,130624.33864488598,138372.7524884016
2699,0.0,138907.4207905815,151260.7881225483,157147.25052411985,147144.22247085825,167269.06168136554
2707,0.0,136830.37847076848,137758.57991589667,131811.70195419074,135067.78517094077,131240.23985567284
2711,0.0,122245.00480674699,117074.03506522099,122381.50573522708,126274.22812284876,130016.91293877758
2713,0.0,132490.9845521794,145312.4300204656,138129.69604078084,147646.5844306039,141448.13650966593
2719,0.0,156906.17259586285,153613.6732294642,151369.6968675683,148056.8388163904,148581.34195274246
2729,0.0,111681.3957819067,130102.77839782357,123637.1507529965,119355.61424236372,123028.65147955545
2731,0.0,121803.47248148314,124660.4448738091,121245.31248963339,117414.82466387903,116059.9166694675
2741,0.0,156583.86036892526,164346.37278582033,162272.55620976255,168505.61638661864,160264.9985848786
2749,0.0,179716.15230597893,186405.69528788736,173465.33908412285,180580.67156295068,170204.70784519953
2753,0.0,150461.70717204688,161211.03572560832,144011.31920681061,146302.05551330477,146064.76434325767
2767,0.0,159117.8419758795,156721.79416574154,148242.96772681046,150480.3515471756,147306.34964588046
2777,0.0,142338.51602730888,156415.39362910806,135031.03132296482,152432.8666171305,155104.30151131877
2789,0.0,104986.8614567379,106161.33601308207,103578.8183428985,105222.14630125457,107900.76052230906
2791,0.0,151967.44316869183,158364.1406728787,154293.53860639557,150502.1041797988,151873.2646863506
2797,0.0,186371.14295405403,179531.85207794432,185063.47956673562,173456.0507838149,172753.78194784222
2801,0.0,149316.69478953409,159216.00961939976,160034.07180531623,152922.97158189106,153381.10619624137
2803,0.0,152595.88894244266,158044.01319173625,144607.63799782025,154414.93174230197,140761.68125863982
2819,0.0,146274.60614587826,139397.86057742743,24280.58144508479,134421.85347285276,150728.27604371213
2833,0.0,113955.13827372598,114710.85194415193,112319.07202473439,114080.37538518591,116684.9524965606
2837,0.0,134247.5493337906,128303.66775613713,139805.34983998153,137992.08431389416,145756.62937824964
2843,0.0,105385.16924071545,95421.37896986722,104361.13247401621,107214.64628424887,107145.04401231707
2851,0.0,140619.03255838394,139932.00336742218,135768.8123086536,129954.22984373923,143726.980592399
2857,0.0,119607.00825588111,132011.01607607747,114227.23927199404,133714.6710610992,124144.80952903777
2861,0.0,100906.5858081975,105437.98516463117,104042.6358712896,103054.56358977543,106346.62848204764
2879,0.0,131667.93715088497,133829.6290958163,133699.88505045036,140194.3343419297,123729.53465511132
2887,0.0,146669.04271586824,147883.67053542277,157878.4095569947,146019.16906722164,150460.43373665278
2897,0.0,116289.7385610964,126832.52695684598,120845.42598463915,125702.25816374781,126523.43802808177
2903,0.0,132668.37276932836,131548.032973481,119916.18061495773,128762.55627154768,130931.49446218928
2909,0.0,105162.61836220053,114443.35695081025,106542.56089383738,123155.23285398014,114996.83404882406
2917,0.0,149823.6337226315,150918.2017164501,141865.5550010912,153613.28219907888,149874.6575187547
2927,0.0,112027.64063638955,117063.45872358832,121432.17507930318,118695.28486908023,128916.01409771836
2939,118583.32748613354,114412.97839201459,121508.35051870989,119919.98250534343,126072.50917356613,122630.22607536578
2953,0.0,182642.5430096792,185167.50872731645,202162.6048405069,182418.14082437239,201655.57595262103
2957,0.0,128778.55346123212,119718.41909237829,127452.71363217535,137730.4156249056,127344.50883878778
2963,0.0,160673.08655987182,175338.71209168909,167575.09703629315,173826.14356390326,162982.93520107132
2969,0.0,145651.35346907197,151762.23617195248,138205.41182724194,146242.56820045813,137938.55702394506
2971,0.0,176618.26019916998,194601.97502386646,176366.30184260517,172868.34798643275,180766.33333614713
2999,93487.66648224341,95202.53149578645,86202.43430329257,94068.07709519043,101576.28598844633,93864.80943895159
3001,0.0,116954.35693291077,117497.88379680944,102691.61227472164,118443.73946862125,105321.65321435478
3011,0.0,150798.48172187866,150895.69039405734,139149.57614833937,136010.55155876392,151221.8541892052
3019,0.0,140216.4351192732,141917.06721046867,138378.4115605607,140085.03582056105,133226.15609305337
3023,0.0,121490.33852852069,120680.15724507133,122842.71386436358,129573.69088656903,123294.2385058389
3037,0.0,117229.23900430536,118199.12110848947,124598.18364565112,114345.05214635684,106824.43160536341
3041,0.0,76936.94569943854,78064.91272528024,83499.69967640185,85644.70986216754,84387.13461895942
3049,0.0,139740.74083512352,138051.52051470263,155521.65140180665,147781.98342596422,138517.6811714485
3061,0.0,142000.12676847406,139209.43605477986,131676.40467829318,140453.60813068942,142269.37925886383
3067,0.0,134290.9780289891,143303.88051062386,140314.92983341482,146805.50390615052,151462.32514882766
3079,0.0,154232.71662082506,142138.09808114587,156756.54641392457,152722.0626297851,150018.91981318232
3083,0.0,151402.18666707122,150230.363510313,154409.41005190296,153838.3243336773,145826.10541081897
3089,0.0,124650.57311901341,128092.41114353179,130522.09825798325,136319.5708046242,114315.042122061
3109,0.0,170187.64112039152,163447.70494220394,161676.1695034066,176923.16669585693,162626.76615094603
3119,0.0,110538.07288101433,107095.09305615116,109343.07029934664,106670.84481465105,115253.22033904612
3121,0.0,166389.66353557594,144691.30544206887,34559.04096671041,160463.4734657139,172068.1724344342
3137,0.0,97795.30338404945,108839.72064911362,106281.5628656037,100458.02751733204,95324.62568168931
3163,0.0,169354.82124790776,169702.68605854924,164835.11318275178,167584.68781699036,155957.75806915516
3167,0.0,169063.21359221943,169731.26801091837,175914.89943781908,170459.81110670062,175385.61521367464
3169,0.0,131966.5863040933,136497.71843723525,128157.74447381707,120800.1188595377,133579.248244013
